Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7375,0.6352,0.6670,0.6379,0.7910,0.2805,0.8341,0.8004,0.5087,0.6919
17,0.7396,0.6400,0.6780,0.6444,0.7964,0.2920,0.8316,0.7993,0.5423,0.6925
74,0.7404,0.6404,0.6751,0.6433,0.7942,0.2890,0.8379,0.8058,0.5319,0.6875
5,0.7414,0.6409,0.6760,0.6464,0.7920,0.3037,0.8270,0.8008,0.5295,0.6976
84,0.7385,0.6425,0.6837,0.6483,0.7909,0.3083,0.8282,0.7968,0.5655,0.6888
19,0.7389,0.6361,0.6678,0.6393,0.7929,0.2863,0.8293,0.8058,0.5098,0.6877
30,0.7435,0.6409,0.6719,0.6452,0.7927,0.3009,0.8291,0.8095,0.5122,0.6941
26,0.7347,0.6343,0.6671,0.6374,0.7863,0.2868,0.8297,0.7980,0.5168,0.6864
78,0.7318,0.6302,0.6624,0.6344,0.7853,0.2909,0.8144,0.7979,0.5087,0.6807
21,0.7439,0.6438,0.6768,0.6491,0.7909,0.3143,0.8262,0.8103,0.5295,0.6906
90,0.7409,0.6389,0.6709,0.6419,0.7939,0.2896,0.8332,0.8094,0.5168,0.6866
68,0.7407,0.6423,0.6817,0.6480,0.7948,0.3046,0.8275,0.8004,0.5527,0.6919
22,0.7412,0.6448,0.6845,0.6510,0.7898,0.3145,0.8302,0.7991,0.5608,0.6934
75,0.7328,0.6334,0.6670,0.6359,0.7863,0.2838,0.8301,0.7984,0.5226,0.6800
32,0.7432,0.6426,0.6791,0.6483,0.7962,0.3038,0.8277,0.8027,0.5365,0.6982
56,0.7417,0.6427,0.6808,0.6479,0.7956,0.3034,0.8290,0.8038,0.5481,0.6906
33,0.7434,0.6420,0.6756,0.6463,0.7941,0.2982,0.8337,0.8066,0.5249,0.6954
8,0.7390,0.6349,0.6685,0.6401,0.7959,0.2885,0.8201,0.7965,0.5075,0.7015
60,0.7370,0.6374,0.6725,0.6423,0.7877,0.2995,0.8251,0.7982,0.5295,0.6897
67,0.7374,0.6372,0.6737,0.6420,0.7933,0.2957,0.8226,0.8008,0.5342,0.6862
14,0.7480,0.6473,0.6805,0.6516,0.7950,0.3055,0.8412,0.8117,0.5307,0.6991
7,0.7462,0.6451,0.6816,0.6498,0.8002,0.2978,0.8373,0.8064,0.5377,0.7006
20,0.7340,0.6306,0.6625,0.6350,0.7891,0.2853,0.8172,0.7953,0.5006,0.6917
58,0.7430,0.6450,0.6846,0.6515,0.7947,0.3121,0.8283,0.8008,0.5562,0.6967
79,0.7408,0.6397,0.6751,0.6448,0.7935,0.2970,0.8287,0.7991,0.5272,0.6989
92,0.7362,0.6373,0.6763,0.6422,0.7934,0.2918,0.8267,0.7932,0.5435,0.6921
95,0.7408,0.6371,0.6707,0.6424,0.7968,0.2951,0.8195,0.8033,0.5133,0.6954
98,0.7442,0.6409,0.6726,0.6447,0.7962,0.2925,0.8338,0.8086,0.5122,0.6971
66,0.7360,0.6353,0.6707,0.6400,0.7902,0.2921,0.8238,0.7956,0.5249,0.6917
1,0.7379,0.6376,0.6781,0.6436,0.7992,0.2922,0.8213,0.7906,0.5435,0.7002
72,0.7366,0.6353,0.6711,0.6397,0.7942,0.2871,0.8247,0.7966,0.5249,0.6919
average,0.7397,0.6391,0.6743,0.6437,0.7930,0.2962,0.8280,0.8013,0.5291,0.6925
