Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7648,0.6729,0.6205,0.6385,0.7667,0.4471,0.8048,0.8692,0.2839,0.7083
17,0.7686,0.6873,0.6336,0.6528,0.7669,0.4818,0.8133,0.8723,0.3221,0.7063
74,0.7644,0.6815,0.6303,0.6488,0.7660,0.4750,0.8036,0.8655,0.3198,0.7057
5,0.7653,0.6864,0.6262,0.6467,0.7686,0.4971,0.7937,0.8643,0.3013,0.7131
84,0.7667,0.6888,0.6296,0.6501,0.7670,0.4972,0.8021,0.8668,0.3105,0.7116
19,0.7664,0.6840,0.6241,0.6442,0.7682,0.4846,0.7990,0.8685,0.2920,0.7118
30,0.7627,0.6749,0.6186,0.6376,0.7653,0.4621,0.7974,0.8675,0.2827,0.7055
26,0.7605,0.6724,0.6160,0.6349,0.7601,0.4556,0.8014,0.8654,0.2793,0.7033
78,0.7612,0.6830,0.6212,0.6419,0.7632,0.4942,0.7916,0.8640,0.2955,0.7041
21,0.7624,0.6770,0.6159,0.6358,0.7635,0.4704,0.7973,0.8711,0.2758,0.7009
90,0.7654,0.6846,0.6206,0.6414,0.7668,0.4900,0.7970,0.8723,0.2839,0.7055
68,0.7624,0.6835,0.6213,0.6420,0.7636,0.4922,0.7945,0.8664,0.2932,0.7041
22,0.7617,0.6810,0.6232,0.6431,0.7620,0.4824,0.7987,0.8640,0.3013,0.7044
75,0.7599,0.6740,0.6165,0.6358,0.7584,0.4607,0.8030,0.8692,0.2851,0.6952
32,0.7668,0.6829,0.6270,0.6464,0.7711,0.4813,0.7963,0.8633,0.2990,0.7188
56,0.7612,0.6817,0.6189,0.6396,0.7615,0.4891,0.7945,0.8621,0.2862,0.7085
33,0.7610,0.6686,0.6175,0.6352,0.7648,0.4436,0.7973,0.8640,0.2827,0.7059
8,0.7661,0.6857,0.6242,0.6446,0.7696,0.4941,0.7935,0.8641,0.2908,0.7175
60,0.7632,0.6821,0.6234,0.6434,0.7666,0.4867,0.7928,0.8646,0.2978,0.7079
67,0.7638,0.6788,0.6244,0.6434,0.7663,0.4709,0.7994,0.8660,0.3001,0.7072
14,0.7713,0.6971,0.6262,0.6487,0.7687,0.5167,0.8059,0.8734,0.2862,0.7188
7,0.7693,0.6846,0.6313,0.6502,0.7707,0.4752,0.8081,0.8709,0.3105,0.7125
20,0.7570,0.6635,0.6127,0.6300,0.7648,0.4417,0.7839,0.8536,0.2723,0.7123
58,0.7658,0.6845,0.6249,0.6451,0.7667,0.4866,0.8001,0.8658,0.2955,0.7133
79,0.7645,0.6791,0.6227,0.6419,0.7680,0.4735,0.7958,0.8626,0.2897,0.7158
92,0.7581,0.6708,0.6206,0.6384,0.7636,0.4586,0.7902,0.8599,0.3013,0.7006
95,0.7632,0.6768,0.6229,0.6416,0.7672,0.4672,0.7959,0.8660,0.2966,0.7061
98,0.7701,0.6819,0.6271,0.6460,0.7712,0.4658,0.8086,0.8700,0.2920,0.7193
66,0.7567,0.6666,0.6137,0.6317,0.7617,0.4492,0.7887,0.8624,0.2816,0.6971
1,0.7663,0.6799,0.6317,0.6493,0.7732,0.4713,0.7951,0.8562,0.3140,0.7247
72,0.7653,0.6713,0.6275,0.6436,0.7692,0.4371,0.8077,0.8649,0.3059,0.7116
average,0.7639,0.6796,0.6230,0.6423,0.7662,0.4742,0.7984,0.8657,0.2945,0.7090
