Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7456,0.6828,0.5572,0.5723,0.7325,0.5337,0.7822,0.8841,0.1194,0.6682
17,0.7513,0.7006,0.5647,0.5821,0.7372,0.5765,0.7881,0.8885,0.1309,0.6748
74,0.7455,0.7004,0.5554,0.5717,0.7272,0.5819,0.7919,0.8970,0.1194,0.6498
5,0.7456,0.7100,0.5594,0.5772,0.7300,0.6167,0.7834,0.8869,0.1286,0.6627
84,0.7432,0.7030,0.5543,0.5703,0.7278,0.6000,0.7812,0.8883,0.1182,0.6564
19,0.7518,0.7125,0.5567,0.5708,0.7321,0.6067,0.7987,0.9001,0.1054,0.6645
30,0.7469,0.6960,0.5591,0.5758,0.7309,0.5684,0.7886,0.8906,0.1251,0.6614
26,0.7451,0.6986,0.5539,0.5686,0.7291,0.5818,0.7850,0.8897,0.1112,0.6607
78,0.7456,0.7113,0.5567,0.5731,0.7294,0.6205,0.7839,0.8883,0.1194,0.6623
21,0.7460,0.7020,0.5577,0.5746,0.7289,0.5879,0.7891,0.8928,0.1240,0.6561
90,0.7413,0.6780,0.5499,0.5638,0.7245,0.5222,0.7872,0.8906,0.1089,0.6500
68,0.7463,0.7203,0.5583,0.5760,0.7300,0.6467,0.7843,0.8924,0.1251,0.6575
22,0.7432,0.6958,0.5518,0.5656,0.7277,0.5786,0.7811,0.8835,0.1066,0.6654
75,0.7456,0.6785,0.5494,0.5616,0.7268,0.5120,0.7966,0.9009,0.0985,0.6487
32,0.7445,0.6872,0.5579,0.5744,0.7301,0.5477,0.7839,0.8860,0.1263,0.6614
56,0.7455,0.7054,0.5529,0.5677,0.7267,0.5987,0.7909,0.8944,0.1089,0.6555
33,0.7382,0.6904,0.5481,0.5627,0.7236,0.5714,0.7762,0.8885,0.1112,0.6445
8,0.7412,0.6912,0.5562,0.5732,0.7281,0.5692,0.7764,0.8824,0.1286,0.6575
60,0.7482,0.6897,0.5567,0.5709,0.7330,0.5486,0.7877,0.8882,0.1112,0.6708
67,0.7432,0.6830,0.5572,0.5740,0.7288,0.5362,0.7840,0.8875,0.1286,0.6555
14,0.7474,0.6846,0.5506,0.5630,0.7261,0.5250,0.8028,0.9006,0.0973,0.6540
7,0.7509,0.6918,0.5639,0.5811,0.7351,0.5459,0.7942,0.8925,0.1309,0.6682
20,0.7477,0.6958,0.5572,0.5730,0.7296,0.5635,0.7943,0.8956,0.1182,0.6577
58,0.7434,0.7001,0.5541,0.5698,0.7281,0.5906,0.7814,0.8882,0.1170,0.6572
79,0.7468,0.6929,0.5600,0.5770,0.7324,0.5606,0.7858,0.8899,0.1286,0.6616
92,0.7417,0.6999,0.5531,0.5693,0.7255,0.5920,0.7824,0.8899,0.1194,0.6500
95,0.7423,0.6792,0.5539,0.5689,0.7289,0.5285,0.7803,0.8852,0.1182,0.6583
98,0.7424,0.6834,0.5520,0.5661,0.7287,0.5424,0.7792,0.8858,0.1112,0.6590
66,0.7509,0.6990,0.5652,0.5836,0.7339,0.5673,0.7958,0.8937,0.1367,0.6651
1,0.7442,0.6887,0.5572,0.5734,0.7306,0.5544,0.7811,0.8846,0.1240,0.6632
72,0.7483,0.6784,0.5557,0.5700,0.7293,0.5053,0.8007,0.8965,0.1112,0.6594
average,0.7455,0.6945,0.5560,0.5717,0.7294,0.5671,0.7870,0.8904,0.1183,0.6593
