Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7135,0.6009,0.5931,0.5918,0.7365,0.2704,0.7960,0.8284,0.3268,0.6242
17,0.7164,0.6085,0.6014,0.5998,0.7375,0.2928,0.7952,0.8300,0.3488,0.6255
74,0.7173,0.6087,0.5982,0.5973,0.7375,0.2882,0.8004,0.8432,0.3407,0.6108
5,0.7160,0.6072,0.6006,0.5990,0.7385,0.2920,0.7912,0.8291,0.3465,0.6261
84,0.7118,0.6004,0.5902,0.5907,0.7338,0.2834,0.7839,0.8298,0.3221,0.6187
19,0.7185,0.6057,0.5919,0.5940,0.7366,0.2841,0.7965,0.8396,0.3117,0.6244
30,0.7166,0.6096,0.5978,0.5986,0.7342,0.3010,0.7936,0.8367,0.3384,0.6185
26,0.7147,0.6030,0.5888,0.5904,0.7317,0.2782,0.7991,0.8384,0.3117,0.6163
78,0.7173,0.6097,0.6015,0.6007,0.7381,0.2994,0.7916,0.8326,0.3476,0.6242
21,0.7130,0.6023,0.5894,0.5905,0.7319,0.2829,0.7922,0.8371,0.3187,0.6123
90,0.7109,0.6015,0.5900,0.5899,0.7314,0.2827,0.7904,0.8373,0.3279,0.6049
68,0.7129,0.6015,0.5892,0.5897,0.7337,0.2799,0.7908,0.8396,0.3198,0.6082
22,0.7153,0.6060,0.5931,0.5946,0.7330,0.2926,0.7923,0.8354,0.3244,0.6195
75,0.7076,0.5968,0.5862,0.5851,0.7288,0.2658,0.7959,0.8323,0.3221,0.6042
32,0.7112,0.6025,0.5959,0.5934,0.7351,0.2827,0.7898,0.8306,0.3453,0.6117
56,0.7157,0.6076,0.5974,0.5972,0.7358,0.2948,0.7921,0.8365,0.3395,0.6163
33,0.7072,0.5966,0.5864,0.5861,0.7299,0.2782,0.7816,0.8309,0.3233,0.6049
8,0.7094,0.5973,0.5877,0.5874,0.7312,0.2712,0.7895,0.8264,0.3187,0.6180
60,0.7128,0.5946,0.5833,0.5848,0.7363,0.2619,0.7855,0.8294,0.2932,0.6274
67,0.7082,0.5982,0.5982,0.5914,0.7397,0.2621,0.7927,0.8196,0.3581,0.6169
14,0.7162,0.6067,0.5938,0.5950,0.7338,0.2897,0.7966,0.8387,0.3256,0.6171
7,0.7241,0.6141,0.6024,0.6030,0.7420,0.2949,0.8053,0.8441,0.3349,0.6281
20,0.7129,0.6018,0.5925,0.5910,0.7334,0.2677,0.8043,0.8317,0.3279,0.6178
58,0.7119,0.5997,0.5895,0.5903,0.7344,0.2838,0.7811,0.8284,0.3187,0.6215
79,0.7139,0.6035,0.5933,0.5935,0.7357,0.2880,0.7868,0.8340,0.3291,0.6169
92,0.7088,0.5997,0.5918,0.5899,0.7315,0.2777,0.7899,0.8286,0.3372,0.6097
95,0.7110,0.5938,0.5845,0.5843,0.7368,0.2569,0.7878,0.8300,0.3036,0.6200
98,0.7123,0.6027,0.5962,0.5943,0.7365,0.2847,0.7869,0.8283,0.3418,0.6185
66,0.7123,0.6014,0.5941,0.5929,0.7359,0.2804,0.7880,0.8272,0.3337,0.6215
1,0.7076,0.5970,0.5928,0.5887,0.7350,0.2658,0.7901,0.8235,0.3418,0.6130
72,0.7175,0.6073,0.5915,0.5931,0.7331,0.2825,0.8063,0.8477,0.3175,0.6092
average,0.7134,0.6028,0.5930,0.5925,0.7348,0.2812,0.7924,0.8331,0.3289,0.6170
