Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.8010,0.7135,0.6646,0.6827,0.8065,0.5017,0.8321,0.8768,0.3349,0.7819
17,0.8051,0.7270,0.6785,0.6972,0.8116,0.5374,0.8321,0.8785,0.3743,0.7828
74,0.7990,0.7163,0.6685,0.6867,0.8044,0.5142,0.8302,0.8770,0.3557,0.7727
5,0.8076,0.7281,0.6702,0.6908,0.8115,0.5380,0.8349,0.8799,0.3360,0.7947
84,0.8037,0.7266,0.6778,0.6966,0.8075,0.5373,0.8350,0.8773,0.3754,0.7806
19,0.8016,0.7134,0.6614,0.6801,0.8091,0.5036,0.8275,0.8781,0.3221,0.7841
30,0.7983,0.7083,0.6615,0.6789,0.8086,0.4939,0.8223,0.8727,0.3302,0.7817
26,0.8031,0.7120,0.6677,0.6846,0.8090,0.4900,0.8371,0.8764,0.3395,0.7872
78,0.7989,0.7135,0.6628,0.6813,0.8074,0.5107,0.8225,0.8719,0.3326,0.7839
21,0.8010,0.7219,0.6691,0.6886,0.8088,0.5335,0.8234,0.8754,0.3511,0.7808
90,0.8048,0.7168,0.6645,0.6834,0.8101,0.5054,0.8349,0.8832,0.3256,0.7846
68,0.7957,0.7132,0.6637,0.6822,0.8028,0.5146,0.8221,0.8722,0.3465,0.7725
22,0.7983,0.7023,0.6610,0.6768,0.8054,0.4685,0.8331,0.8720,0.3279,0.7830
75,0.7947,0.7016,0.6520,0.6699,0.7970,0.4742,0.8336,0.8762,0.3082,0.7716
32,0.8026,0.7229,0.6681,0.6879,0.8095,0.5335,0.8257,0.8747,0.3418,0.7879
56,0.8027,0.7185,0.6707,0.6888,0.8089,0.5144,0.8322,0.8770,0.3523,0.7828
33,0.7994,0.7067,0.6718,0.6860,0.8087,0.4773,0.8341,0.8736,0.3650,0.7767
8,0.7981,0.7162,0.6635,0.6826,0.8078,0.5235,0.8175,0.8685,0.3360,0.7861
60,0.8047,0.7209,0.6702,0.6889,0.8125,0.5211,0.8292,0.8750,0.3430,0.7927
67,0.8018,0.7171,0.6695,0.6875,0.8083,0.5119,0.8311,0.8758,0.3499,0.7828
14,0.8033,0.7236,0.6644,0.6852,0.8055,0.5320,0.8333,0.8790,0.3279,0.7863
7,0.8011,0.7128,0.6684,0.6854,0.8082,0.4983,0.8319,0.8745,0.3476,0.7830
20,0.7990,0.7055,0.6605,0.6774,0.8058,0.4787,0.8320,0.8758,0.3256,0.7802
58,0.8030,0.7221,0.6679,0.6876,0.8102,0.5297,0.8264,0.8765,0.3407,0.7865
79,0.8039,0.7244,0.6737,0.6927,0.8121,0.5347,0.8265,0.8720,0.3569,0.7922
92,0.8015,0.7233,0.6733,0.6923,0.8046,0.5311,0.8342,0.8782,0.3662,0.7754
95,0.7982,0.7044,0.6616,0.6779,0.8076,0.4783,0.8274,0.8737,0.3314,0.7798
98,0.7989,0.7121,0.6611,0.6798,0.8033,0.5018,0.8312,0.8793,0.3302,0.7738
66,0.7992,0.7185,0.6652,0.6846,0.8070,0.5269,0.8217,0.8723,0.3407,0.7826
1,0.8013,0.7176,0.6711,0.6889,0.8087,0.5151,0.8289,0.8722,0.3557,0.7854
72,0.8012,0.7095,0.6662,0.6828,0.8088,0.4867,0.8330,0.8753,0.3395,0.7839
average,0.8011,0.7158,0.6668,0.6850,0.8077,0.5103,0.8296,0.8755,0.3423,0.7826
