Algorithm,Data_Version,Resampling,Model_Type,Champion_Seed,Accuracy,Macro_Precision,Macro_Recall,Macro_F1-Score,Precision_functional,Precision_functional_needs_repair,Precision_non_functional,Recall_functional,Recall_functional_needs_repair,Recall_non_functional,Euclidean_Distance
KNN,7,no_resample,baseline,N/A,0.7836,0.7121,0.6416,0.6649,0.7777,0.5328,0.8258,0.8861,0.3105,0.7282,0.4597
KNN,7,no_resample,optimized,84,0.7852,0.7193,0.6563,0.6787,0.7885,0.5611,0.8083,0.8692,0.3511,0.7486,0.4437
KNN,7,resampled,baseline,N/A,0.7430,0.6450,0.6846,0.6515,0.7947,0.3121,0.8283,0.8008,0.5562,0.6967,0.4749
KNN,7,resampled,optimized,84,0.7693,0.6697,0.6860,0.6749,0.8006,0.3885,0.8200,0.8309,0.4925,0.7346,0.4557
KNN,8,no_resample,baseline,N/A,0.7713,0.6971,0.6262,0.6487,0.7687,0.5167,0.8059,0.8734,0.2862,0.7188,0.4811
KNN,8,no_resample,optimized,17,0.7816,0.7042,0.6533,0.6724,0.7873,0.5162,0.8092,0.8682,0.3511,0.7407,0.4557
KNN,8,resampled,baseline,N/A,0.7424,0.6441,0.6781,0.6492,0.7892,0.3179,0.8251,0.8120,0.5400,0.6824,0.4799
KNN,8,resampled,optimized,17,0.7602,0.6554,0.6804,0.6621,0.8021,0.3429,0.8213,0.8232,0.4971,0.7210,0.4699
LOGISTIC,7,no_resample,baseline,N/A,0.7463,0.7203,0.5583,0.5760,0.7300,0.6467,0.7843,0.8924,0.1251,0.6575,0.5228
LOGISTIC,7,no_resample,optimized,17,0.7531,0.7317,0.5613,0.5772,0.7361,0.6689,0.7900,0.8924,0.1147,0.6770,0.5142
LOGISTIC,7,resampled,baseline,N/A,0.7220,0.6190,0.6258,0.6159,0.7519,0.3067,0.7983,0.8243,0.4183,0.6349,0.5340
LOGISTIC,7,resampled,optimized,84,0.7222,0.6156,0.6215,0.6134,0.7540,0.3012,0.7915,0.8185,0.3986,0.6474,0.5395
LOGISTIC,8,no_resample,baseline,N/A,0.7355,0.7025,0.5394,0.5507,0.7167,0.6111,0.7798,0.8905,0.0892,0.6386,0.5483
LOGISTIC,8,no_resample,optimized,42,0.7385,0.7193,0.5357,0.5420,0.7205,0.6591,0.7783,0.8936,0.0672,0.6463,0.5426
LOGISTIC,8,resampled,baseline,N/A,0.7241,0.6141,0.6024,0.6030,0.7420,0.2949,0.8053,0.8441,0.3349,0.6281,0.5541
LOGISTIC,8,resampled,optimized,17,0.7193,0.6118,0.5989,0.6002,0.7351,0.3001,0.8002,0.8393,0.3349,0.6224,0.5582
RANDOM_FOREST,7,no_resample,baseline,N/A,0.8051,0.7270,0.6785,0.6972,0.8116,0.5374,0.8321,0.8785,0.3743,0.7828,0.4218
RANDOM_FOREST,7,no_resample,optimized,17,0.8135,0.7594,0.6708,0.6989,0.8023,0.6207,0.8552,0.9083,0.3337,0.7703,0.4078
RANDOM_FOREST,7,resampled,baseline,N/A,0.7979,0.7084,0.6918,0.6992,0.8115,0.4785,0.8353,0.8615,0.4380,0.7760,0.4243
RANDOM_FOREST,7,resampled,optimized,17,0.8047,0.7174,0.6961,0.7051,0.8116,0.4872,0.8536,0.8804,0.4415,0.7664,0.4150
RANDOM_FOREST,8,no_resample,baseline,N/A,0.7856,0.7018,0.6550,0.6726,0.7956,0.5026,0.8073,0.8561,0.3384,0.7705,0.4560
RANDOM_FOREST,8,no_resample,optimized,5,0.7981,0.7619,0.6352,0.6643,0.7867,0.6708,0.8282,0.9013,0.2480,0.7563,0.4356
RANDOM_FOREST,8,resampled,baseline,N/A,0.7830,0.6886,0.6724,0.6797,0.8020,0.4506,0.8133,0.8477,0.4067,0.7629,0.4520
RANDOM_FOREST,8,resampled,optimized,17,0.7829,0.6894,0.6787,0.6816,0.7888,0.4243,0.8553,0.8694,0.4415,0.7252,0.4469
