Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7865,0.7000,0.6636,0.6784,0.7980,0.4885,0.8135,0.8630,0.3708,0.7570
sol_2,0.7683,0.7340,0.6126,0.6425,0.7536,0.6390,0.8095,0.8979,0.2584,0.6816
sol_3,0.7865,0.7000,0.6636,0.6784,0.7980,0.4885,0.8135,0.8630,0.3708,0.7570
sol_4,0.7683,0.7340,0.6126,0.6425,0.7536,0.6390,0.8095,0.8979,0.2584,0.6816
sol_5,0.7814,0.7278,0.6399,0.6670,0.7734,0.5921,0.8180,0.8899,0.3129,0.7169
sol_6,0.7825,0.7142,0.6468,0.6697,0.7838,0.5495,0.8093,0.8759,0.3279,0.7366
sol_7,0.7830,0.7304,0.6392,0.6667,0.7740,0.5973,0.8199,0.8903,0.3059,0.7215
sol_8,0.7750,0.7316,0.6226,0.6518,0.7590,0.6118,0.8238,0.9023,0.2758,0.6897
sol_9,0.7710,0.7331,0.6191,0.6489,0.7566,0.6293,0.8133,0.8975,0.2735,0.6864
sol_10,0.7849,0.7083,0.6617,0.6797,0.7925,0.5220,0.8104,0.8669,0.3708,0.7473
sol_11,0.7835,0.7006,0.6625,0.6778,0.7943,0.4977,0.8096,0.8633,0.3766,0.7475
sol_12,0.7814,0.7278,0.6399,0.6670,0.7734,0.5921,0.8180,0.8899,0.3129,0.7169
sol_13,0.7825,0.7142,0.6468,0.6697,0.7838,0.5495,0.8093,0.8759,0.3279,0.7366
sol_14,0.7853,0.7130,0.6520,0.6735,0.7886,0.5389,0.8115,0.8742,0.3372,0.7445
sol_15,0.7824,0.7140,0.6476,0.6704,0.7837,0.5489,0.8095,0.8759,0.3314,0.7355
sol_16,0.7855,0.7036,0.6623,0.6787,0.7949,0.5039,0.8120,0.8640,0.3696,0.7532
sol_17,0.7851,0.7102,0.6547,0.6750,0.7901,0.5292,0.8111,0.8713,0.3465,0.7464
sol_18,0.7750,0.7316,0.6226,0.6518,0.7590,0.6118,0.8238,0.9023,0.2758,0.6897
sol_19,0.7851,0.7122,0.6536,0.6746,0.7892,0.5362,0.8111,0.8727,0.3430,0.7451
sol_20,0.7855,0.7085,0.6589,0.6777,0.7923,0.5219,0.8112,0.8682,0.3592,0.7493
sol_1,0.7699,0.6678,0.6540,0.6602,0.7974,0.4155,0.7905,0.8331,0.3731,0.7556
sol_2,0.7675,0.7147,0.6099,0.6368,0.7557,0.5787,0.8097,0.8993,0.2514,0.6789
sol_3,0.7675,0.7147,0.6099,0.6368,0.7557,0.5787,0.8097,0.8993,0.2514,0.6789
sol_4,0.7699,0.6678,0.6540,0.6602,0.7974,0.4155,0.7905,0.8331,0.3731,0.7556
sol_5,0.7768,0.6804,0.6499,0.6624,0.7934,0.4461,0.8016,0.8516,0.3453,0.7528
sol_6,0.7776,0.7048,0.6258,0.6498,0.7632,0.5105,0.8408,0.9046,0.2804,0.6923
