Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7477,0.6530,0.6311,0.6334,0.7484,0.3487,0.8620,0.8848,0.3859,0.6226
sol_2,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_3,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_4,0.7477,0.6530,0.6311,0.6334,0.7484,0.3487,0.8620,0.8848,0.3859,0.6226
sol_5,0.7558,0.6514,0.6740,0.6583,0.7960,0.3478,0.8104,0.8129,0.4820,0.7269
sol_6,0.7461,0.6524,0.6315,0.6326,0.7473,0.3463,0.8636,0.8854,0.3928,0.6163
sol_7,0.7461,0.6524,0.6315,0.6326,0.7473,0.3463,0.8636,0.8854,0.3928,0.6163
sol_8,0.7558,0.6514,0.6740,0.6583,0.7960,0.3478,0.8104,0.8129,0.4820,0.7269
sol_9,0.7461,0.6524,0.6315,0.6326,0.7473,0.3463,0.8636,0.8854,0.3928,0.6163
sol_10,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_11,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_12,0.7558,0.6514,0.6740,0.6583,0.7960,0.3478,0.8104,0.8129,0.4820,0.7269
sol_13,0.7461,0.6524,0.6315,0.6326,0.7473,0.3463,0.8636,0.8854,0.3928,0.6163
sol_14,0.7558,0.6514,0.6740,0.6583,0.7960,0.3478,0.8104,0.8129,0.4820,0.7269
sol_15,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_16,0.7477,0.6530,0.6311,0.6334,0.7484,0.3487,0.8620,0.8848,0.3859,0.6226
sol_17,0.7461,0.6524,0.6315,0.6326,0.7473,0.3463,0.8636,0.8854,0.3928,0.6163
sol_18,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_19,0.7518,0.6475,0.6741,0.6542,0.7958,0.3315,0.8151,0.8136,0.4959,0.7129
sol_20,0.7558,0.6514,0.6740,0.6583,0.7960,0.3478,0.8104,0.8129,0.4820,0.7269
sol_1,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_2,0.7519,0.6537,0.6804,0.6601,0.7894,0.3551,0.8166,0.8208,0.5226,0.6978
sol_3,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_4,0.7519,0.6537,0.6804,0.6601,0.7894,0.3551,0.8166,0.8208,0.5226,0.6978
sol_5,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_6,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_7,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_8,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_9,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_10,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_11,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_12,0.7519,0.6537,0.6804,0.6601,0.7894,0.3551,0.8166,0.8208,0.5226,0.6978
sol_13,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_14,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_15,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_16,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_17,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_18,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_19,0.7504,0.6558,0.6383,0.6378,0.7530,0.3445,0.8700,0.8857,0.4044,0.6248
sol_20,0.7506,0.6573,0.6381,0.6386,0.7514,0.3508,0.8696,0.8857,0.4032,0.6255
sol_1,0.7550,0.6506,0.6765,0.6570,0.7989,0.3365,0.8165,0.8213,0.4983,0.7098
sol_2,0.7529,0.6490,0.6797,0.6573,0.8025,0.3356,0.8090,0.8115,0.5122,0.7155
sol_3,0.7529,0.6490,0.6797,0.6573,0.8025,0.3356,0.8090,0.8115,0.5122,0.7155
sol_4,0.7550,0.6506,0.6765,0.6570,0.7989,0.3365,0.8165,0.8213,0.4983,0.7098
sol_5,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_6,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_7,0.7550,0.6506,0.6765,0.6570,0.7989,0.3365,0.8165,0.8213,0.4983,0.7098
sol_8,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_9,0.7529,0.6490,0.6797,0.6573,0.8025,0.3356,0.8090,0.8115,0.5122,0.7155
sol_10,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_11,0.7529,0.6490,0.6797,0.6573,0.8025,0.3356,0.8090,0.8115,0.5122,0.7155
sol_12,0.7550,0.6506,0.6765,0.6570,0.7989,0.3365,0.8165,0.8213,0.4983,0.7098
sol_13,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_14,0.7529,0.6490,0.6797,0.6573,0.8025,0.3356,0.8090,0.8115,0.5122,0.7155
sol_15,0.7550,0.6506,0.6765,0.6570,0.7989,0.3365,0.8165,0.8213,0.4983,0.7098
sol_16,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_17,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_18,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_19,0.7529,0.6490,0.6797,0.6573,0.8025,0.3356,0.8090,0.8115,0.5122,0.7155
sol_20,0.7538,0.6503,0.6794,0.6576,0.8007,0.3359,0.8142,0.8176,0.5110,0.7096
sol_1,0.7576,0.6528,0.6807,0.6611,0.8045,0.3437,0.8103,0.8139,0.5017,0.7265
sol_2,0.7601,0.6556,0.6792,0.6620,0.8009,0.3466,0.8194,0.8244,0.4936,0.7197
sol_3,0.7576,0.6528,0.6807,0.6611,0.8045,0.3437,0.8103,0.8139,0.5017,0.7265
sol_4,0.7601,0.6556,0.6792,0.6620,0.8009,0.3466,0.8194,0.8244,0.4936,0.7197
sol_5,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_6,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_7,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_8,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_9,0.7601,0.6556,0.6792,0.6620,0.8009,0.3466,0.8194,0.8244,0.4936,0.7197
sol_10,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_11,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_12,0.7601,0.6556,0.6792,0.6620,0.8009,0.3466,0.8194,0.8244,0.4936,0.7197
sol_13,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_14,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_15,0.7576,0.6528,0.6807,0.6611,0.8045,0.3437,0.8103,0.8139,0.5017,0.7265
sol_16,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_17,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_18,0.7601,0.6556,0.6792,0.6620,0.8009,0.3466,0.8194,0.8244,0.4936,0.7197
sol_19,0.7595,0.6541,0.6806,0.6622,0.8057,0.3460,0.8104,0.8150,0.4959,0.7309
sol_20,0.7576,0.6528,0.6807,0.6611,0.8045,0.3437,0.8103,0.8139,0.5017,0.7265
sol_1,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_2,0.7491,0.6388,0.6582,0.6434,0.7923,0.3115,0.8126,0.8142,0.4461,0.7144
sol_3,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_4,0.7492,0.6389,0.6583,0.6435,0.7923,0.3117,0.8126,0.8143,0.4461,0.7144
sol_5,0.7488,0.6394,0.6594,0.6441,0.7918,0.3138,0.8126,0.8148,0.4519,0.7116
sol_6,0.7488,0.6394,0.6594,0.6441,0.7918,0.3138,0.8126,0.8148,0.4519,0.7116
sol_7,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_8,0.7488,0.6394,0.6594,0.6441,0.7918,0.3138,0.8126,0.8148,0.4519,0.7116
sol_9,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_10,0.7488,0.6394,0.6594,0.6441,0.7918,0.3138,0.8126,0.8148,0.4519,0.7116
sol_11,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_12,0.7491,0.6388,0.6582,0.6434,0.7923,0.3115,0.8126,0.8142,0.4461,0.7144
sol_13,0.7491,0.6388,0.6582,0.6434,0.7923,0.3115,0.8126,0.8142,0.4461,0.7144
sol_14,0.7491,0.6388,0.6582,0.6434,0.7923,0.3115,0.8126,0.8142,0.4461,0.7144
sol_15,0.7492,0.6389,0.6583,0.6435,0.7923,0.3117,0.8126,0.8143,0.4461,0.7144
sol_16,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_17,0.7491,0.6388,0.6582,0.6434,0.7923,0.3115,0.8126,0.8142,0.4461,0.7144
sol_18,0.7488,0.6394,0.6594,0.6441,0.7918,0.3138,0.8126,0.8148,0.4519,0.7116
sol_19,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
sol_20,0.7432,0.6396,0.6610,0.6431,0.7820,0.3199,0.8170,0.8187,0.4774,0.6868
average,0.7523,0.6500,0.6640,0.6502,0.7855,0.3376,0.8270,0.8336,0.4673,0.6912
