Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7338,0.7141,0.5250,0.5253,0.7129,0.6491,0.7802,0.8936,0.0429,0.6386
sol_2,0.7359,0.6949,0.5358,0.5441,0.7161,0.5856,0.7829,0.8920,0.0753,0.6401
sol_3,0.7338,0.7141,0.5250,0.5253,0.7129,0.6491,0.7802,0.8936,0.0429,0.6386
sol_4,0.7359,0.6949,0.5358,0.5441,0.7161,0.5856,0.7829,0.8920,0.0753,0.6401
sol_5,0.7340,0.7042,0.5260,0.5268,0.7135,0.6190,0.7801,0.8928,0.0452,0.6399
sol_6,0.7355,0.7023,0.5335,0.5403,0.7148,0.6082,0.7839,0.8936,0.0684,0.6384
sol_7,0.7338,0.7075,0.5258,0.5267,0.7132,0.6290,0.7802,0.8933,0.0452,0.6388
sol_8,0.7338,0.7075,0.5258,0.5267,0.7132,0.6290,0.7802,0.8933,0.0452,0.6388
sol_9,0.7355,0.7023,0.5335,0.5403,0.7148,0.6082,0.7839,0.8936,0.0684,0.6384
sol_10,0.7359,0.6984,0.5358,0.5441,0.7159,0.5963,0.7831,0.8922,0.0753,0.6399
sol_11,0.7358,0.7023,0.5347,0.5423,0.7152,0.6078,0.7839,0.8931,0.0718,0.6391
sol_12,0.7359,0.7003,0.5358,0.5441,0.7157,0.6019,0.7832,0.8924,0.0753,0.6397
sol_13,0.7340,0.7042,0.5260,0.5268,0.7135,0.6190,0.7801,0.8928,0.0452,0.6399
sol_14,0.7360,0.7011,0.5355,0.5436,0.7155,0.6038,0.7840,0.8928,0.0742,0.6395
sol_15,0.7359,0.6984,0.5358,0.5441,0.7159,0.5963,0.7831,0.8922,0.0753,0.6399
sol_16,0.7360,0.7011,0.5355,0.5436,0.7155,0.6038,0.7840,0.8928,0.0742,0.6395
sol_17,0.7358,0.7023,0.5347,0.5423,0.7152,0.6078,0.7839,0.8931,0.0718,0.6391
sol_18,0.7359,0.7003,0.5358,0.5441,0.7157,0.6019,0.7832,0.8924,0.0753,0.6397
sol_19,0.7359,0.6949,0.5358,0.5441,0.7161,0.5856,0.7829,0.8920,0.0753,0.6401
sol_20,0.7359,0.6949,0.5358,0.5441,0.7161,0.5856,0.7829,0.8920,0.0753,0.6401
sol_1,0.7389,0.6886,0.5436,0.5555,0.7216,0.5616,0.7826,0.8931,0.0950,0.6428
sol_2,0.7385,0.7193,0.5357,0.5420,0.7205,0.6591,0.7783,0.8936,0.0672,0.6463
sol_3,0.7385,0.7193,0.5357,0.5420,0.7205,0.6591,0.7783,0.8936,0.0672,0.6463
sol_4,0.7389,0.6886,0.5436,0.5555,0.7216,0.5616,0.7826,0.8931,0.0950,0.6428
sol_5,0.7391,0.6956,0.5434,0.5552,0.7213,0.5827,0.7829,0.8939,0.0939,0.6423
sol_6,0.7381,0.7188,0.5373,0.5461,0.7176,0.6535,0.7853,0.8982,0.0765,0.6371
sol_7,0.7381,0.7188,0.5373,0.5461,0.7176,0.6535,0.7853,0.8982,0.0765,0.6371
sol_8,0.7384,0.7091,0.5406,0.5515,0.7195,0.6250,0.7827,0.8958,0.0869,0.6393
sol_9,0.7382,0.7103,0.5391,0.5490,0.7188,0.6283,0.7837,0.8967,0.0823,0.6384
sol_10,0.7381,0.7147,0.5379,0.5471,0.7179,0.6415,0.7846,0.8978,0.0788,0.6371
sol_11,0.7388,0.7072,0.5421,0.5535,0.7205,0.6190,0.7820,0.8950,0.0904,0.6408
sol_12,0.7381,0.7156,0.5383,0.5478,0.7182,0.6449,0.7839,0.8973,0.0800,0.6375
sol_13,0.7387,0.7102,0.5412,0.5522,0.7198,0.6281,0.7828,0.8958,0.0881,0.6397
sol_14,0.7381,0.7156,0.5383,0.5478,0.7182,0.6449,0.7839,0.8973,0.0800,0.6375
sol_15,0.7383,0.7111,0.5388,0.5485,0.7187,0.6306,0.7841,0.8970,0.0811,0.6384
sol_16,0.7383,0.7122,0.5392,0.5491,0.7187,0.6339,0.7839,0.8969,0.0823,0.6384
sol_17,0.7381,0.7156,0.5383,0.5478,0.7182,0.6449,0.7839,0.8973,0.0800,0.6375
sol_18,0.7383,0.7111,0.5388,0.5485,0.7187,0.6306,0.7841,0.8970,0.0811,0.6384
sol_19,0.7382,0.7111,0.5388,0.5484,0.7186,0.6306,0.7839,0.8969,0.0811,0.6384
sol_20,0.7387,0.7102,0.5412,0.5522,0.7198,0.6281,0.7828,0.8958,0.0881,0.6397
sol_1,0.7331,0.7141,0.5250,0.5259,0.7121,0.6500,0.7801,0.8944,0.0452,0.6353
sol_2,0.7331,0.7141,0.5250,0.5259,0.7121,0.6500,0.7801,0.8944,0.0452,0.6353
sol_3,0.7337,0.6882,0.5314,0.5368,0.7155,0.5729,0.7762,0.8875,0.0637,0.6430
sol_4,0.7337,0.6882,0.5314,0.5368,0.7155,0.5729,0.7762,0.8875,0.0637,0.6430
sol_5,0.7333,0.6938,0.5279,0.5308,0.7138,0.5897,0.7780,0.8903,0.0533,0.6399
sol_6,0.7333,0.7107,0.5252,0.5261,0.7125,0.6393,0.7803,0.8944,0.0452,0.6360
sol_7,0.7333,0.7018,0.5259,0.5274,0.7125,0.6119,0.7808,0.8939,0.0475,0.6362
sol_8,0.7333,0.6938,0.5279,0.5308,0.7138,0.5897,0.7780,0.8903,0.0533,0.6399
sol_9,0.7333,0.6986,0.5259,0.5274,0.7127,0.6029,0.7802,0.8931,0.0475,0.6371
sol_10,0.7331,0.6954,0.5270,0.5294,0.7134,0.5946,0.7781,0.8908,0.0510,0.6393
sol_11,0.7333,0.7107,0.5252,0.5261,0.7125,0.6393,0.7803,0.8944,0.0452,0.6360
