Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7186,0.6110,0.5988,0.5997,0.7350,0.2984,0.7996,0.8378,0.3360,0.6226
sol_2,0.7201,0.6128,0.5954,0.5987,0.7327,0.3038,0.8018,0.8450,0.3221,0.6189
sol_3,0.7201,0.6128,0.5954,0.5987,0.7327,0.3038,0.8018,0.8450,0.3221,0.6189
sol_4,0.7186,0.6110,0.5988,0.5997,0.7350,0.2984,0.7996,0.8378,0.3360,0.6226
sol_5,0.7200,0.6125,0.5975,0.5996,0.7342,0.3005,0.8027,0.8429,0.3291,0.6204
sol_6,0.7192,0.6118,0.5988,0.6001,0.7350,0.3001,0.8002,0.8393,0.3349,0.6222
sol_7,0.7201,0.6124,0.5972,0.5995,0.7342,0.3004,0.8027,0.8432,0.3279,0.6204
sol_8,0.7199,0.6124,0.5959,0.5988,0.7331,0.3020,0.8020,0.8443,0.3244,0.6189
sol_9,0.7193,0.6118,0.5989,0.6002,0.7351,0.3001,0.8002,0.8393,0.3349,0.6224
sol_10,0.7187,0.6111,0.5989,0.5998,0.7351,0.2987,0.7996,0.8379,0.3360,0.6226
sol_11,0.7201,0.6127,0.5957,0.5988,0.7329,0.3029,0.8023,0.8449,0.3233,0.6189
sol_12,0.7192,0.6118,0.5988,0.6001,0.7350,0.3001,0.8002,0.8393,0.3349,0.6222
sol_13,0.7187,0.6111,0.5989,0.5998,0.7351,0.2987,0.7996,0.8379,0.3360,0.6226
sol_14,0.7201,0.6124,0.5972,0.5995,0.7342,0.3004,0.8027,0.8432,0.3279,0.6204
sol_15,0.7201,0.6128,0.5954,0.5987,0.7327,0.3038,0.8018,0.8450,0.3221,0.6189
sol_16,0.7199,0.6124,0.5959,0.5988,0.7331,0.3020,0.8020,0.8443,0.3244,0.6189
sol_17,0.7201,0.6128,0.5954,0.5987,0.7327,0.3038,0.8018,0.8450,0.3221,0.6189
sol_18,0.7202,0.6127,0.5958,0.5989,0.7331,0.3026,0.8023,0.8449,0.3233,0.6191
sol_19,0.7193,0.6118,0.5989,0.6002,0.7351,0.3001,0.8002,0.8393,0.3349,0.6224
sol_20,0.7200,0.6124,0.5975,0.5996,0.7343,0.3002,0.8027,0.8429,0.3291,0.6204
sol_1,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_2,0.7137,0.6008,0.5918,0.5911,0.7358,0.2696,0.7970,0.8303,0.3221,0.6231
sol_3,0.7137,0.6008,0.5918,0.5911,0.7358,0.2696,0.7970,0.8303,0.3221,0.6231
sol_4,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_5,0.7134,0.6009,0.5930,0.5917,0.7364,0.2704,0.7959,0.8284,0.3268,0.6239
sol_6,0.7134,0.6009,0.5930,0.5917,0.7364,0.2704,0.7959,0.8284,0.3268,0.6239
sol_7,0.7137,0.6008,0.5918,0.5911,0.7358,0.2696,0.7970,0.8303,0.3221,0.6231
sol_8,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_9,0.7137,0.6008,0.5918,0.5911,0.7358,0.2696,0.7970,0.8303,0.3221,0.6231
sol_10,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_11,0.7134,0.6009,0.5930,0.5917,0.7364,0.2704,0.7959,0.8284,0.3268,0.6239
sol_12,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_13,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_14,0.7134,0.6009,0.5930,0.5917,0.7364,0.2704,0.7959,0.8284,0.3268,0.6239
sol_15,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_16,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_17,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_18,0.7135,0.6010,0.5931,0.5918,0.7364,0.2706,0.7959,0.8286,0.3268,0.6239
sol_19,0.7137,0.6008,0.5918,0.5911,0.7358,0.2696,0.7970,0.8303,0.3221,0.6231
sol_20,0.7137,0.6008,0.5918,0.5911,0.7358,0.2696,0.7970,0.8303,0.3221,0.6231
sol_1,0.7160,0.6072,0.6006,0.5990,0.7385,0.2920,0.7912,0.8291,0.3465,0.6261
sol_2,0.7160,0.6072,0.6006,0.5990,0.7385,0.2920,0.7912,0.8291,0.3465,0.6261
sol_3,0.7173,0.6097,0.5989,0.5992,0.7357,0.2990,0.7943,0.8357,0.3395,0.6213
sol_4,0.7173,0.6097,0.5989,0.5992,0.7357,0.2990,0.7943,0.8357,0.3395,0.6213
sol_5,0.7165,0.6086,0.5988,0.5988,0.7359,0.2967,0.7931,0.8333,0.3407,0.6226
sol_6,0.7162,0.6072,0.6000,0.5988,0.7383,0.2915,0.7919,0.8298,0.3441,0.6261
sol_7,0.7165,0.6086,0.5988,0.5987,0.7359,0.2964,0.7935,0.8336,0.3407,0.6222
sol_8,0.7172,0.6095,0.5992,0.5993,0.7360,0.2982,0.7943,0.8350,0.3407,0.6220
sol_9,0.7162,0.6072,0.6000,0.5988,0.7383,0.2915,0.7919,0.8298,0.3441,0.6261
sol_10,0.7165,0.6086,0.5988,0.5988,0.7359,0.2967,0.7931,0.8333,0.3407,0.6226
sol_11,0.7172,0.6095,0.5992,0.5993,0.7360,0.2982,0.7943,0.8350,0.3407,0.6220
sol_12,0.7165,0.6086,0.5988,0.5987,0.7359,0.2964,0.7935,0.8336,0.3407,0.6222
sol_13,0.7172,0.6095,0.5992,0.5993,0.7360,0.2982,0.7943,0.8350,0.3407,0.6220
sol_14,0.7160,0.6072,0.6006,0.5990,0.7385,0.2920,0.7912,0.8291,0.3465,0.6261
sol_15,0.7165,0.6086,0.5988,0.5987,0.7359,0.2964,0.7935,0.8336,0.3407,0.6222
sol_16,0.7160,0.6072,0.6006,0.5990,0.7385,0.2920,0.7912,0.8291,0.3465,0.6261
sol_17,0.7165,0.6086,0.5988,0.5988,0.7359,0.2967,0.7931,0.8333,0.3407,0.6226
sol_18,0.7160,0.6072,0.6006,0.5990,0.7385,0.2920,0.7912,0.8291,0.3465,0.6261
sol_19,0.7165,0.6086,0.5988,0.5987,0.7358,0.2967,0.7935,0.8336,0.3407,0.6222
sol_20,0.7162,0.6072,0.6000,0.5988,0.7383,0.2915,0.7919,0.8298,0.3441,0.6261
sol_1,0.7172,0.6084,0.5955,0.5957,0.7354,0.2882,0.8016,0.8458,0.3326,0.6082
sol_2,0.7172,0.6084,0.5955,0.5957,0.7354,0.2882,0.8016,0.8458,0.3326,0.6082
sol_3,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_4,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_5,0.7168,0.6081,0.5963,0.5960,0.7358,0.2877,0.8007,0.8443,0.3360,0.6086
sol_6,0.7172,0.6084,0.5955,0.5957,0.7353,0.2884,0.8016,0.8458,0.3326,0.6082
sol_7,0.7168,0.6081,0.5964,0.5960,0.7359,0.2877,0.8008,0.8443,0.3360,0.6088
sol_8,0.7172,0.6084,0.5955,0.5957,0.7353,0.2884,0.8016,0.8458,0.3326,0.6082
sol_9,0.7172,0.6084,0.5970,0.5965,0.7366,0.2873,0.8013,0.8440,0.3372,0.6099
sol_10,0.7172,0.6084,0.5970,0.5965,0.7366,0.2873,0.8013,0.8440,0.3372,0.6099
sol_11,0.7170,0.6081,0.5970,0.5964,0.7367,0.2870,0.8005,0.8433,0.3372,0.6103
sol_12,0.7170,0.6081,0.5970,0.5964,0.7367,0.2870,0.8005,0.8433,0.3372,0.6103
sol_13,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_14,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_15,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_16,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_17,0.7168,0.6081,0.5964,0.5960,0.7359,0.2877,0.8008,0.8443,0.3360,0.6088
sol_18,0.7170,0.6081,0.5970,0.5964,0.7367,0.2870,0.8005,0.8433,0.3372,0.6103
sol_19,0.7171,0.6083,0.5973,0.5967,0.7368,0.2877,0.8005,0.8433,0.3384,0.6103
sol_20,0.7168,0.6081,0.5964,0.5960,0.7359,0.2877,0.8008,0.8443,0.3360,0.6088
sol_1,0.7119,0.6003,0.5895,0.5902,0.7334,0.2831,0.7844,0.8308,0.3198,0.6180
sol_2,0.7180,0.6103,0.5818,0.5900,0.7264,0.3153,0.7892,0.8551,0.2839,0.6064
sol_3,0.7119,0.6003,0.5895,0.5902,0.7334,0.2831,0.7844,0.8308,0.3198,0.6180
sol_4,0.7180,0.6103,0.5818,0.5900,0.7264,0.3153,0.7892,0.8551,0.2839,0.6064
sol_5,0.7143,0.6030,0.5858,0.5893,0.7307,0.2901,0.7880,0.8418,0.3036,0.6119
sol_6,0.7180,0.6097,0.5819,0.5900,0.7269,0.3133,0.7889,0.8542,0.2839,0.6077
sol_7,0.7180,0.6105,0.5852,0.5924,0.7283,0.3151,0.7880,0.8506,0.2943,0.6108
sol_8,0.7154,0.6050,0.5860,0.5903,0.7302,0.2956,0.7892,0.8449,0.3024,0.6106
sol_9,0.7143,0.6030,0.5858,0.5893,0.7307,0.2901,0.7880,0.8418,0.3036,0.6119
sol_10,0.7170,0.6089,0.5857,0.5916,0.7278,0.3064,0.7925,0.8503,0.2990,0.6077
sol_11,0.7180,0.6101,0.5835,0.5911,0.7275,0.3144,0.7883,0.8522,0.2885,0.6097
sol_12,0.7167,0.6069,0.5856,0.5908,0.7295,0.3000,0.7912,0.8485,0.2990,0.6095
sol_13,0.7158,0.6059,0.5861,0.5907,0.7299,0.2979,0.7898,0.8464,0.3024,0.6095
sol_14,0.7162,0.6067,0.5864,0.5912,0.7299,0.3003,0.7900,0.8474,0.3024,0.6092
sol_15,0.7167,0.6069,0.5856,0.5908,0.7295,0.3000,0.7912,0.8485,0.2990,0.6095
sol_16,0.7171,0.6091,0.5861,0.5919,0.7282,0.3069,0.7921,0.8502,0.3001,0.6079
sol_17,0.7169,0.6082,0.5857,0.5914,0.7286,0.3042,0.7917,0.8494,0.2990,0.6088
sol_18,0.7182,0.6100,0.5836,0.5912,0.7278,0.3136,0.7887,0.8522,0.2885,0.6101
sol_19,0.7143,0.6031,0.5857,0.5893,0.7307,0.2908,0.7878,0.8419,0.3036,0.6117
sol_20,0.7169,0.6082,0.5857,0.5914,0.7286,0.3042,0.7917,0.8494,0.2990,0.6088
average,0.7166,0.6073,0.5943,0.5954,0.7345,0.2912,0.7961,0.8389,0.3264,0.6175
