Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.8111,0.7406,0.6811,0.7029,0.8123,0.5686,0.8410,0.8886,0.3696,0.7850
sol_2,0.8111,0.7406,0.6811,0.7029,0.8123,0.5686,0.8410,0.8886,0.3696,0.7850
sol_3,0.7849,0.7986,0.5958,0.6237,0.7461,0.7742,0.8754,0.9448,0.1669,0.6759
sol_4,0.7849,0.7986,0.5958,0.6237,0.7461,0.7742,0.8754,0.9448,0.1669,0.6759
sol_5,0.7957,0.7983,0.6154,0.6471,0.7582,0.7554,0.8814,0.9437,0.2039,0.6984
sol_6,0.8069,0.7906,0.6412,0.6744,0.7818,0.7285,0.8616,0.9263,0.2549,0.7425
sol_7,0.8136,0.7658,0.6612,0.6913,0.7951,0.6359,0.8663,0.9192,0.3036,0.7609
sol_8,0.7956,0.7942,0.6162,0.6480,0.7587,0.7427,0.8812,0.9440,0.2074,0.6971
sol_9,0.8070,0.7831,0.6435,0.6767,0.7793,0.6982,0.8719,0.9313,0.2654,0.7339
sol_10,0.8134,0.7695,0.6581,0.6890,0.7919,0.6456,0.8710,0.9242,0.2955,0.7548
sol_11,0.8125,0.7595,0.6688,0.6969,0.8046,0.6281,0.8459,0.9027,0.3268,0.7769
sol_12,0.8123,0.7518,0.6712,0.6976,0.8029,0.5988,0.8538,0.9045,0.3372,0.7719
sol_13,0.8129,0.7470,0.6782,0.7022,0.8108,0.5859,0.8443,0.8933,0.3557,0.7857
sol_14,0.8129,0.7753,0.6550,0.6867,0.7905,0.6658,0.8696,0.9260,0.2862,0.7528
sol_15,0.8012,0.7931,0.6305,0.6638,0.7710,0.7401,0.8681,0.9344,0.2375,0.7197
sol_16,0.8103,0.7801,0.6475,0.6799,0.7849,0.6844,0.8712,0.9297,0.2688,0.7440
sol_17,0.8088,0.7758,0.6495,0.6818,0.7850,0.6751,0.8673,0.9262,0.2793,0.7432
sol_18,0.8017,0.7924,0.6315,0.6649,0.7712,0.7367,0.8695,0.9347,0.2399,0.7199
sol_19,0.8126,0.7506,0.6764,0.7017,0.8079,0.5972,0.8468,0.8982,0.3523,0.7787
sol_20,0.8135,0.7594,0.6708,0.6989,0.8023,0.6207,0.8552,0.9083,0.3337,0.7703
sol_1,0.7952,0.8020,0.6089,0.6382,0.7583,0.7696,0.8782,0.9448,0.1819,0.7000
sol_2,0.7952,0.8020,0.6089,0.6382,0.7583,0.7696,0.8782,0.9448,0.1819,0.7000
sol_3,0.8089,0.7374,0.6623,0.6864,0.8048,0.5642,0.8433,0.8955,0.3105,0.7808
sol_4,0.8113,0.7671,0.6506,0.6805,0.7939,0.6500,0.8575,0.9175,0.2711,0.7633
sol_5,0.8093,0.7486,0.6508,0.6775,0.7987,0.5995,0.8477,0.9066,0.2723,0.7734
sol_6,0.8025,0.7955,0.6241,0.6555,0.7691,0.7409,0.8766,0.9394,0.2121,0.7208
sol_7,0.7979,0.7956,0.6110,0.6398,0.7612,0.7441,0.8814,0.9459,0.1819,0.7052
sol_8,0.8101,0.7777,0.6427,0.6735,0.7875,0.6825,0.8629,0.9245,0.2491,0.7545
sol_9,0.8095,0.7710,0.6444,0.6747,0.7889,0.6637,0.8604,0.9220,0.2561,0.7552
sol_10,0.8057,0.7847,0.6334,0.6648,0.7787,0.7092,0.8661,0.9300,0.2317,0.7385
sol_11,0.8056,0.7886,0.6295,0.6606,0.7752,0.7170,0.8735,0.9356,0.2202,0.7326
sol_12,0.8095,0.7423,0.6542,0.6798,0.8009,0.5782,0.8478,0.9035,0.2827,0.7762
sol_13,0.8060,0.7793,0.6386,0.6700,0.7831,0.6961,0.8586,0.9242,0.2468,0.7449
sol_14,0.8091,0.7453,0.6532,0.6793,0.8007,0.5902,0.8450,0.9037,0.2804,0.7754
sol_15,0.8091,0.7397,0.6591,0.6839,0.8044,0.5721,0.8426,0.8973,0.2990,0.7811
sol_16,0.8045,0.7948,0.6276,0.6592,0.7729,0.7373,0.8741,0.9375,0.2178,0.7276
sol_17,0.7978,0.7966,0.6109,0.6398,0.7611,0.7476,0.8811,0.9459,0.1819,0.7050
sol_18,0.8055,0.7807,0.6346,0.6656,0.7811,0.7000,0.8608,0.9271,0.2352,0.7416
sol_19,0.8047,0.7913,0.6282,0.6596,0.7739,0.7269,0.8730,0.9366,0.2190,0.7291
sol_20,0.8095,0.7710,0.6444,0.6747,0.7889,0.6637,0.8604,0.9220,0.2561,0.7552
