Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7119,0.7426,0.5006,0.5064,0.6644,0.6625,0.9010,0.9696,0.0614,0.4707
sol_2,0.8048,0.7173,0.6966,0.7054,0.8121,0.4866,0.8531,0.8795,0.4426,0.7677
sol_3,0.8048,0.7173,0.6966,0.7054,0.8121,0.4866,0.8531,0.8795,0.4426,0.7677
sol_4,0.8059,0.7185,0.6985,0.7070,0.8132,0.4880,0.8544,0.8793,0.4461,0.7701
sol_5,0.7203,0.7304,0.5107,0.5192,0.6739,0.6250,0.8923,0.9649,0.0695,0.4977
sol_6,0.7303,0.7309,0.5242,0.5369,0.6839,0.6167,0.8922,0.9623,0.0857,0.5244
sol_7,0.7112,0.7414,0.5002,0.5060,0.6641,0.6625,0.8976,0.9684,0.0614,0.4707
sol_8,0.7210,0.7365,0.5108,0.5189,0.6747,0.6444,0.8904,0.9646,0.0672,0.5005
sol_9,0.7313,0.7301,0.5241,0.5362,0.6846,0.6121,0.8938,0.9626,0.0823,0.5273
sol_10,0.7309,0.7262,0.5228,0.5341,0.6845,0.6018,0.8924,0.9623,0.0788,0.5273
sol_11,0.7309,0.7262,0.5228,0.5341,0.6845,0.6018,0.8924,0.9623,0.0788,0.5273
sol_12,0.7120,0.7424,0.5007,0.5066,0.6645,0.6625,0.9000,0.9691,0.0614,0.4716
sol_13,0.7210,0.7365,0.5108,0.5189,0.6747,0.6444,0.8904,0.9646,0.0672,0.5005
sol_14,0.8057,0.7188,0.6975,0.7066,0.8125,0.4897,0.8540,0.8792,0.4426,0.7705
sol_15,0.7311,0.7280,0.5245,0.5368,0.6852,0.6102,0.8887,0.9600,0.0834,0.5301
sol_16,0.7303,0.7309,0.5242,0.5369,0.6839,0.6167,0.8922,0.9623,0.0857,0.5244
sol_17,0.8059,0.7185,0.6985,0.7070,0.8132,0.4880,0.8544,0.8793,0.4461,0.7701
sol_18,0.7309,0.7262,0.5228,0.5341,0.6845,0.6018,0.8924,0.9623,0.0788,0.5273
sol_19,0.8048,0.7173,0.6966,0.7054,0.8121,0.4866,0.8531,0.8795,0.4426,0.7677
sol_20,0.8047,0.7174,0.6961,0.7051,0.8116,0.4872,0.8536,0.8804,0.4415,0.7664
sol_1,0.7555,0.7179,0.5768,0.6033,0.7151,0.5500,0.8885,0.9454,0.1912,0.5939
sol_2,0.7555,0.7179,0.5768,0.6033,0.7151,0.5500,0.8885,0.9454,0.1912,0.5939
sol_3,0.8027,0.7105,0.6862,0.6963,0.8061,0.4648,0.8607,0.8826,0.4125,0.7635
sol_4,0.8027,0.7105,0.6862,0.6963,0.8061,0.4648,0.8607,0.8826,0.4125,0.7635
sol_5,0.7562,0.7193,0.5794,0.6065,0.7147,0.5478,0.8955,0.9473,0.1993,0.5915
sol_6,0.8022,0.7110,0.6818,0.6937,0.8028,0.4675,0.8628,0.8872,0.3998,0.7583
sol_7,0.7557,0.7185,0.5771,0.6036,0.7154,0.5518,0.8883,0.9454,0.1912,0.5946
sol_8,0.8022,0.7110,0.6818,0.6937,0.8028,0.4675,0.8628,0.8872,0.3998,0.7583
sol_9,0.7562,0.7193,0.5794,0.6065,0.7147,0.5478,0.8955,0.9473,0.1993,0.5915
sol_10,0.7550,0.7157,0.5754,0.6015,0.7146,0.5436,0.8890,0.9456,0.1877,0.5930
sol_11,0.7557,0.7185,0.5771,0.6036,0.7154,0.5518,0.8883,0.9454,0.1912,0.5946
sol_12,0.8026,0.7098,0.6858,0.6958,0.8061,0.4622,0.8609,0.8824,0.4114,0.7638
sol_13,0.8024,0.7112,0.6815,0.6936,0.8026,0.4674,0.8637,0.8877,0.3986,0.7583
sol_14,0.8026,0.7098,0.6858,0.6958,0.8061,0.4622,0.8609,0.8824,0.4114,0.7638
sol_15,0.8022,0.7113,0.6821,0.6940,0.8026,0.4682,0.8632,0.8874,0.4009,0.7578
sol_16,0.8021,0.7121,0.6830,0.6949,0.8026,0.4716,0.8621,0.8866,0.4044,0.7578
sol_17,0.8024,0.7112,0.6815,0.6936,0.8026,0.4674,0.8637,0.8877,0.3986,0.7583
sol_18,0.8021,0.7121,0.6830,0.6949,0.8026,0.4716,0.8621,0.8866,0.4044,0.7578
sol_19,0.8022,0.7113,0.6821,0.6940,0.8026,0.4682,0.8632,0.8874,0.4009,0.7578
sol_20,0.7550,0.7157,0.5754,0.6015,0.7146,0.5436,0.8890,0.9456,0.1877,0.5930
sol_1,0.7139,0.7867,0.4885,0.4797,0.6658,0.8000,0.8944,0.9679,0.0093,0.4883
sol_2,0.8064,0.7176,0.6885,0.7009,0.8135,0.4916,0.8478,0.8759,0.4056,0.7839
sol_3,0.8064,0.7176,0.6885,0.7009,0.8135,0.4916,0.8478,0.8759,0.4056,0.7839
sol_4,0.7139,0.7867,0.4885,0.4797,0.6658,0.8000,0.8944,0.9679,0.0093,0.4883
sol_5,0.7648,0.7378,0.5928,0.6227,0.7243,0.5994,0.8897,0.9449,0.2202,0.6132
sol_6,0.7142,0.7515,0.4890,0.4806,0.6660,0.6923,0.8962,0.9684,0.0104,0.4883
sol_7,0.7343,0.7514,0.5305,0.5462,0.6858,0.6694,0.8992,0.9618,0.0962,0.5334
sol_8,0.7857,0.7198,0.6446,0.6687,0.7609,0.5143,0.8841,0.9209,0.3326,0.6805
sol_9,0.7741,0.7261,0.6106,0.6394,0.7380,0.5491,0.8913,0.9378,0.2526,0.6415
sol_10,0.7928,0.7116,0.6643,0.6817,0.7799,0.4806,0.8743,0.9021,0.3731,0.7177
sol_11,0.7136,0.7628,0.4882,0.4793,0.6656,0.7273,0.8955,0.9687,0.0093,0.4865
sol_12,0.7147,0.7460,0.5008,0.5047,0.6667,0.6716,0.8998,0.9682,0.0521,0.4819
sol_13,0.7828,0.7280,0.6366,0.6637,0.7518,0.5394,0.8928,0.9314,0.3175,0.6607
sol_14,0.7350,0.7480,0.5318,0.5478,0.6870,0.6589,0.8981,0.9618,0.0985,0.5350
sol_15,0.7171,0.7604,0.4996,0.5007,0.6688,0.7143,0.8980,0.9684,0.0406,0.4900
sol_16,0.7151,0.7391,0.4908,0.4840,0.6662,0.6500,0.9012,0.9698,0.0151,0.4876
sol_17,0.7141,0.7543,0.4883,0.4791,0.6657,0.7000,0.8972,0.9688,0.0081,0.4878
sol_18,0.7141,0.7543,0.4883,0.4791,0.6657,0.7000,0.8972,0.9688,0.0081,0.4878
